"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_410102","41.01.02","Товары, отгруженные со склада","asset_current","True","",""
"by_410200","41.02.00","Товары в розничной торговле","asset_current","False","",""
"by_410201","41.02.01","Товары в розничной торговле (в АТТ по продажной стоимости)","asset_current","False","",""
"by_410202","41.02.02","Товары в розничной торговле (в НТТ по продажной стоимости)","asset_current","False","",""
"by_410203","41.02.03","Товары в розничной торговле (по покупной стоимости)","asset_current","False","",""
"by_410300","41.03.00","Тара под товаром и порожняя","asset_current","False","",""
"by_410400","41.04.00","Покупные изделия","asset_current","False","",""
"by_410500","41.05.00","Товары, переданные для подготовки на сторону","asset_current","False","",""
"by_410600","41.06.00","Предметы проката","asset_current","False","",""
"by_420000","42.00.00","Торговая наценка","asset_current","False","",""
"by_420100","42.01.00","Торговая наценка","asset_current","False","",""
"by_420101","42.01.01","Торговая наценка в автоматизированных торговых точках","asset_current","False","",""
"by_420102","42.01.02","Торговая наценка в неавтоматизированных торговых точках","asset_current","False","",""
"by_420200","42.02","Торговая скидка","asset_current","False","",""
"by_420201","42.02.01","Торговая скидка АТТ","asset_current","False","",""
"by_420202","42.02.02","Торговая скидка НТТ","asset_current","False","",""
"by_420300","42.03.00","Розничный НДС","asset_current","False","",""
"by_420301","42.03.01","НДС в цене товара в АТТ","asset_current","False","",""
"by_420302","42.03.02","НДС в цене товара в НТТ","asset_current","False","",""
"by_430000","43.00.00","Готовая продукция","asset_current","False","",""
"by_440000","44.00.00","Расходы на реализацию","asset_current","False","",""
"by_440100","44.01.00","Коммерческие расходы в организациях, осуществляющих промышленную и иную производственную деятельность","asset_current","False","",""
"by_440200","44.02.00","Издержки обращения в организациях, осуществляющих торговую деятельность","asset_current","False","",""
"by_440201","44.02.01","Издержки обращения в организациях, осуществляющих торговую деятельность","asset_current","False","",""
"by_440202","44.02.02","Издержки обращения, подлежащие распределению","asset_current","False","",""
"by_450000","45.00.00","Товары отгруженные","asset_current","False","",""
"by_450100","45.01.00","Покупные товары отгруженные","asset_current","False","",""
"by_450200","45.02.00","Готовая продукция отгруженная","asset_current","False","",""
"by_450300","45.03.00","Прочие товары отгруженные","asset_current","False","",""
"by_470000","47.00.00","Долгосрочные активы, предназначенные для реализации","asset_current","False","",""
"by_500000","50.00.00","Касса","asset_cash","False","",""
"by_500100","50.01.00","Касса организации","asset_cash","False","",""
"by_500200","50.02.00","Операционная касса","asset_cash","False","",""
"by_500300","50.03.00","Касса организации (в валюте)","asset_cash","False","",""
"by_500400","50.04.00","Касса филиала","asset_cash","False","",""
"by_500401","50.04.01","Касса филиала 1","asset_cash","True","",""
"by_500402","50.04.02","Касса филиала 2","asset_cash","True","",""
"by_500499","50.04.99","Default Temporary Account for POS","asset_cash","True","",""
"by_510000","51.00.00","Расчетные счета","asset_cash","False","",""
"by_510100","51.01.00","Расчетные счета в белорусских рублях","asset_current","False","",""
"by_510101","51.01.01","Входящие платежи в белорусских рублях","asset_receivable","True","",""
"by_510102","51.01.02","Просроченные платежи в белорусских рублях","asset_current","False","",""
"by_520000","52.00.00","Валютные счета","asset_current","False","",""
"by_550000","55.00.00","Специальные счета в банках","asset_current","False","",""
"by_550100","55.01.00","Депозитные счета","asset_current","False","",""
"by_550200","55.02.00","Счета в драгоценных металлах","asset_current","False","",""
"by_550300","55.03.00","Специальный счет средств целевого финансирования","asset_current","False","",""
"by_551100","55.11.00","Депозитные счета (в валюте)","asset_current","False","",""
"by_553100","55.31.00","Специальный счет целевого финансирования (в валюте)","asset_current","False","",""
"by_570000","57.00.00","Переводы в пути","asset_current","False","",""
"by_570100","57.01.00","Инкассированные денежные средства","asset_current","False","",""
"by_570200","57.02.00","Денежные средства для приобретения иностранной валюты","asset_current","False","",""
"by_570300","57.03.00","Денежные средства в иностранных валютах для реализации","asset_current","False","",""
"by_570400","57.04.00","Денежные средства в пути","asset_current","False","",""
"by_570401","57.04.01","Денежные средства в пути. Терминалы.","asset_receivable","True","",""
"by_571100","57.11.00","Инкассированные денежные средства (в валюте)","asset_current","False","",""
"by_572100","57.21.00","Денежные средства для покупки  иностранной валюты (в валюте)","asset_current","False","",""
"by_580000","58.00.00","Краткосрочные финансовые вложения","asset_current","False","",""
"by_580100","58.01.00","Краткосрочные финансовые вложения в ценные бумаги","asset_current","False","",""
"by_580200","58.02.00","Предоставленные краткосрочные займы","asset_current","False","",""
"by_590000","59.00.00","Резервы под обесценение краткосрочных финансовых вложений","asset_current","False","",""
"by_600000","60.00.00","Расчеты с поставщиками и подрядчиками","liability_payable","True","",""
"by_600100","60.01.00","Расчеты с поставщиками и подрядчиками","liability_payable","True","",""
"by_600200","60.02.00","Расчеты по авансам выданным","liability_payable","True","",""
"by_600300","60.03.00","Векселя выданные","liability_payable","True","",""
"by_601200","60.12.00","Расчеты с поставщиками и подрядчиками (в у.е.)","liability_payable","True","",""
"by_602100","60.21.00","Расчеты по авансам выданным (в валюте)","liability_payable","True","",""
